 [0.3111 ,0.4136 ,0.0018 ,0.1240;
 0.8942 ,0.1536 ,0.5682 ,0.0037;
 0.2772 ,0.0020 ,0.2317 ,0.9567;
 0.6051 ,0.0001 ,0.2150 ,0.0018;
 0.2208 ,0.9057 ,0.1303 ,0.0001;
 0.0430 ,0.0006 ,0.4627 ,0.4095;
 0.0054 ,0.6718 ,0.9769 ,0.0131;
 0.4779 ,0.0027 ,0.3724 ,0.8028;
 0.9708 ,0.0002 ,0.4059 ,0.8956;
 0.8671 ,0.2306 ,0.0067 ,0.4432;
 0.4017 ,0.6158 ,0.8210 ,0.0067;
 0.0011 ,0.6185 ,0.5964 ,0.0222;
 0.0803 ,0.1259 ,0.8924 ,0.0006;
 0.0032 ,0.0174 ,0.8246 ,0.3668;
 0.5960 ,0.0015 ,0.1940 ,0.9855;
 0.0606 ,0.8949 ,0.0012 ,0.0357;
 0.0014 ,0.0372 ,0.9743 ,0.5528;
 0.9725 ,0.4005 ,0.0338 ,0.0005;
 0.3120 ,0.0070 ,0.1995 ,0.7950;
 0.7795 ,0.9358 ,0.9734 ,0.0073;
 0.1587 ,0.0022 ,0.8849 ,0.3336;
 0.8353 ,0.0012 ,0.0106 ,0.6640;
 0.4259 ,0.8384 ,0.7423 ,0.0005;
 0.9977 ,0.8468 ,0.0713 ,0.0049;
 0.0000 ,0.0593 ,0.8534 ,0.1214]
